Components - LoRa_Balloon;;;;;;;;
Capacitors;;;Inductors;;;Other components;;
Value;Unit;;Value;Unit;;12MHz crystal;;https://dk.farnell.com/txc/7a-16-000maaj-t/xtal-16-000mhz-18pf-smd-5-0x3/dp/1841946RL?st=glass%20crystal%207a%20series
0,5;pF;;2,7;nH;;868 MHz Ceramic antenna;;https://dk.farnell.com/johanson-technology/0868at43a0020e/antenna-ceramic-868mhz/dp/1885493
1,5;pF;;5,6;nH;;869MHz SAW filter;;https://dk.farnell.com/epcos/b39871b3715u410/saw-filter-rf-869mhz/dp/2309080?st=868%20mhz%20saw
1,8;pF;;8,2;nH;;Atmega 328P microcontroller;;https://dk.farnell.com/microchip/atmega328p-au/mcu-8bit-atmega-20mhz-tqfp-32/dp/1715486?st=ATMEGA328P-AU
2,4;pF;;10;nH;;EMI Shield 25x25mm;;https://www.mouser.dk/ProductDetail/Laird-Performance-Materials/BMI-S-203-F?qs=5UmOb8GQ3yKLBE6qZEE2TA==
3,3;pF;;33;nH;;PE4259 RF switch;;https://www.psemi.com/pdf/datasheets/pe4259ds.pdf
8,2;pF;;;;;SKY67013-396LF LNA;;https://www.mouser.dk/ProductDetail/Skyworks-Solutions-Inc/SKY67013-396LF?qs=WMHGlxXAKT%252BTn6hASXBAVQ==
10;pF;;Resistors;;;SX1272 LoRa chip;;https://dk.farnell.com/semtech/sx1272imltrt/high-link-budget-transceiver-55y8079/dp/3278662?st=sx1272
15;pF;;Value;Unit;;TSX-3225 crystal;;https://dk.farnell.com/epson/x1e0000210162-tsx-3225-32-mhz-9-0pf/crystal-tsx-3225-32-mhz-9-pf/dp/1712845?st=X1E0000210162%20TSX-3225%2032%20MHZ%209.0PF
18;pF;;6,2;k?;;XCL205 step-down DC-DC converter;;http://www.farnell.com/datasheets/2012857.pdf
20;pF;;10;k?;;4-pin qwiic connector;;
22;pF;;;;;6-pin qwiic connector;;
47;pF;;;;;;;
1;nF;;;;;;;
10;nF;;;;;;;
100;nF;;;;;;;
4,7;uF;;;;;;;
10;uF;;;;;;;
