"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"via-0.6mm-0.3mm_drill";193;"";;;
2;"J3";"Qwiic_4-pin";1;"Qwiic_4pin";;;
3;"J1";"UFL_Feedtrough";1;"COAX";;;
4;"L9,L8";"L0402";2;"L_0402_5.6nH_CID3036";;;
5;"U6";"XCL205";1;"XCL205";;;
6;"F1";"SAW_869MHz";1;"SAW_869MHz";;;
7;"C38,C37";"C1206";2;"C_1206_4.7uF_CID2013_small";;;
8;"J2";"qwiic_6pin";1;"Qwicc_6-pin";;;
9;"C36,C33,C34,C35";"C0402";4;"C_0402_100nF_CID2072";;;
10;"X2";"TXC14.3";1;"7A-12.000MAAJ-T_CID117";;;
11;"U5";"ATMega328P_AU";1;"ATMEGA328P-AU";;;
12;"L2";"L0402";1;"L_0402_33nH_CID3034";;;
13;"C1,C14";"C0402";2;"C_0402_1.8pF_CID2085";;;
14;"C2,C5,C8,C10";"C0402";4;"C_0402_100nF_CID2080";;;
15;"C3,C15";"C0402";2;"C_0402_20pF_CID2086";;;
16;"C4";"C0805";1;"C_0805_10uF_CID2079";;;
17;"C6,C16";"C0402";2;"C_0402_10pF_CID2089";;;
18;"C7,C30";"C0402";2;"C_0402_47pF_CID2081";;;
19;"C9,C12,C21";"C0402";3;"C_0402_10nF_CID2082";;;
20;"C11,C19";"C0402";2;"C_0402_0.5pF_CID2091";;;
21;"C13,C24";"C0402";2;"C_0402_2.4pF_CID2093";;;
22;"C17,C18";"C0402";2;"C_0402_15pF_CID2083";;;
23;"C20,C25";"C0402";2;"C_0402_8.2pF_CID2088";;;
24;"C22";"C0402";1;"C_0402_22pF_CID2090";;;
25;"C23,C28";"C0402";2;"C_0402_3.3pF_CID2084";;;
26;"C26";"C0402";1;"C_0402_1.5pF_CID2087";;;
27;"C27,C29";"C0402";2;"C_0402_1nF_CID2092";;;
28;"C31,C32";"C0603";2;"C_0603_18pF_CID2019";;;
29;"H1";"BMI-S-203-F_EMI_shield";1;"EMI_shield";;;
30;"L1,L5,L6";"L0402";3;"L_0402_10nH_CID3037";;;
31;"L3,L7";"L0402";2;"L_0402_8.2nH_CID3038";;;
32;"L4";"L0402";1;"L_0402_2.7nH_CID3035";;;
33;"R1,R3";"R0402";2;"R_0402_6k2_CID1104";;;
34;"R2,R4";"R0402";2;"R_0402_10k_CID1101";;;
35;"U1,U3";"DFN-8";2;"SKY67013-396LF_CID141";;;
36;"U2";"QFN-28";1;"SX1272IMLTRICT-ND_CID104";;;
37;"U4";"SC70-6";1;"PE4259_CID105";;;
38;"X1";"TSX-3225";1;"X1E0000210162_CID142";;;
